Berlin,BER,Stokholms,ARN,2021-11-06 20:00,166,Singapore Airlines,B,ATR-72
Tehran,THRA,Stokholms,STOC,2021-10-29 19:00,198,La Compagnie,A,Airbus-A320
Tehran,THRA,London,STN,2020-03-21 01:00,325,Korean Air,A,ATR-72
Manchester,MHT,London,LGW,2020-03-30 21:00,212,EVA Air,A,Boing-747
New York,NYCA,Munich,MUC,2020-01-13 20:00,334,Singapore Airlines,C,ATR-72
ROME,ROME,New York,NYCA,2021-04-12 19:00,128,Virgin Atlantic,B,Boing-737
Munich,LGB,London,LOND,2020-01-22 14:00,166,Air New Zealand,C,Boing-MD
London,LOND,New York,EWR,2021-04-03 15:00,148,Qatar Airways,B,Boing-747
Tehran,THRA,ROME,CIA,2020-10-03 14:00,261,Korean Air,A,Boing-MD
Munich,SBA,Manchester,MHT,2020-02-16 03:00,217,Korean Air,B,ATR-72
London,NHR,Barcelona,BLA,2020-06-17 19:00,325,Virgin Atlantic,A,ATR-72
New York,NYCA,Barcelona,BLA,2020-02-22 09:00,447,Korean Air,C,Boing-MD
ROME,CIA,Munich,MUC,2020-11-19 00:00,301,Air New Zealand,C,ATR-72
Madrid,MAD,Stokholms,STOC,2021-10-06 20:00,316,Korean Air,C,Boing-737
ROME,ROME,Manchester,MHT,2020-03-03 09:00,264,Emirates,B,Boing-737
Barcelona,BLA,London,NHR,2021-06-21 09:00,275,Emirates,A,Airbus-A380
Tehran,THR,Barcelona,BLA,2020-06-30 19:00,302,La Compagnie,A,Airbus-A380
ROME,CIA,Madrid,MAD,2021-03-15 01:00,339,Qatar Airways,B,Boing-737
New York,JFK,Barcelona,BLA,2021-07-28 12:00,235,Qatar Airways,A,Boing-MD
Tehran,THR,New York,JFK,2020-12-25 03:00,284,Japan Airlines,A,Airbus-A380
ROME,FCO,London,LGW,2021-05-10 20:00,234,La Compagnie,C,Boing-747
ROME,FCO,Tehran,THRA,2021-07-20 23:00,287,EVA Air,A,Boing-MD
Berlin,BER,Stokholms,ARN,2020-10-18 03:00,375,Korean Air,A,Boing-747
ROME,FCO,Manchester,MAN,2020-12-16 09:00,107,Turkish Airlines,C,Boing-MD
London,LOND,Berlin,BTV,2020-08-13 01:00,184,Japan Airlines,A,ATR-72
Barcelona,BLA,ROME,ROME,2020-07-21 09:00,409,La Compagnie,A,Boing-747
Munich,SBA,Berlin,BLI,2021-10-09 11:00,447,EVA Air,C,Boing-747
New York,JFK,Tehran,THRA,2020-11-30 06:00,379,La Compagnie,B,Boing-737
Barcelona,BLA,New York,NYCA,2021-09-22 08:00,229,La Compagnie,B,Boing-747
Stokholms,STOC,Barcelona,BCN,2020-07-19 14:00,212,Singapore Airlines,A,Boing-737
Barcelona,BLA,London,LGW,2020-10-29 18:00,458,Singapore Airlines,C,Boing-747
Tehran,THR,New York,EWR,2021-03-12 06:00,405,Turkish Airlines,A,Boing-MD
Tehran,THR,Manchester,MHT,2021-02-22 20:00,428,Air New Zealand,A,Airbus-A320
London,LGW,Tehran,THR,2021-07-05 10:00,305,La Compagnie,B,Boing-MD
Manchester,MAN,London,LOND,2020-04-22 20:00,413,Virgin Atlantic,B,Airbus-A380
New York,EWR,Tehran,IKA,2020-07-28 17:00,277,Japan Airlines,B,Boing-737
Barcelona,BLA,London,LOND,2020-09-13 17:00,162,Qatar Airways,C,Boing-MD
Munich,SBA,London,NHR,2020-10-22 07:00,108,La Compagnie,C,Boing-MD
Stokholms,ARN,New York,JFK,2021-01-20 14:00,297,Korean Air,A,Boing-747
London,STN,Tehran,IKA,2021-01-06 01:00,334,Virgin Atlantic,B,Boing-737
Manchester,MHT,Munich,SBA,2020-07-19 10:00,209,Singapore Airlines,C,ATR-72
Tehran,THRA,London,NHR,2021-05-17 15:00,475,Korean Air,C,Boing-737
Stokholms,STOC,London,STN,2021-02-05 07:00,443,Korean Air,C,ATR-72
London,NHR,Berlin,BTV,2020-07-11 15:00,240,Turkish Airlines,B,ATR-72
Tehran,IKA,Berlin,BER,2021-02-21 22:00,131,Qatar Airways,C,Boing-747
Berlin,BLI,Barcelona,BCN,2021-07-07 11:00,365,Japan Airlines,C,Boing-737
Berlin,BER,London,NHR,2020-12-08 16:00,343,Turkish Airlines,A,Boing-747
London,NHR,Berlin,BLI,2021-06-10 18:00,243,Qatar Airways,A,Boing-747
Berlin,BTV,Manchester,MHT,2020-02-20 15:00,317,Emirates,A,ATR-72
Stokholms,STOC,ROME,FCO,2021-04-01 11:00,151,Virgin Atlantic,C,Boing-MD
ROME,ROME,Stokholms,ARN,2021-06-16 09:00,400,Air New Zealand,C,Airbus-A380
Madrid,MAD,Berlin,BLI,2020-06-16 06:00,318,Air New Zealand,A,Boing-747
Stokholms,ARN,Madrid,MAD,2020-08-08 11:00,470,La Compagnie,A,ATR-72
Manchester,MAN,Barcelona,BLA,2020-05-07 16:00,370,Emirates,B,Boing-747
Manchester,MAN,Munich,SBA,2021-02-04 12:00,184,Singapore Airlines,C,ATR-72
Madrid,MAD,ROME,FCO,2021-04-24 11:00,487,Turkish Airlines,C,Boing-737
London,STN,Tehran,IKA,2020-04-02 21:00,497,Qatar Airways,C,Airbus-A320
New York,EWR,Stokholms,STOC,2021-03-08 05:00,346,Singapore Airlines,C,Airbus-A380
Berlin,BTV,Manchester,MAN,2021-12-02 01:00,142,Korean Air,C,Boing-MD
Berlin,BTV,Munich,SBA,2021-06-24 14:00,297,La Compagnie,B,Boing-747
London,LGW,Munich,LGB,2021-06-05 13:00,307,Korean Air,A,Boing-747
Munich,LGB,Madrid,MAD,2021-07-23 22:00,432,Emirates,B,Boing-747
ROME,FCO,Tehran,IKA,2021-11-19 10:00,482,La Compagnie,B,Boing-747
Berlin,BER,ROME,FCO,2021-02-24 08:00,110,Emirates,C,Airbus-A320
Berlin,BER,Manchester,MHT,2020-09-01 17:00,159,Virgin Atlantic,A,ATR-72
Barcelona,BCN,Munich,MUC,2021-05-22 16:00,409,La Compagnie,C,Airbus-A320
Berlin,BLI,Tehran,THR,2021-08-07 06:00,484,Singapore Airlines,C,Airbus-A380
ROME,FCO,Stokholms,ARN,2020-06-14 15:00,125,Turkish Airlines,A,Boing-737
Tehran,THRA,ROME,FCO,2020-03-05 00:00,262,Emirates,A,Boing-737
London,NHR,ROME,FCO,2020-11-20 12:00,361,EVA Air,B,Boing-737
London,STN,New York,JFK,2020-10-10 12:00,393,La Compagnie,B,Airbus-A320
New York,EWR,Berlin,BTV,2020-05-27 23:00,253,Qatar Airways,B,Boing-MD
Stokholms,STOC,London,LGW,2020-11-25 14:00,463,Korean Air,B,Airbus-A380
